Register Value,Player Name, Salary in $ ,Season Start,Season End,Team,Full Team Name
1,A.C. Green," $1,750,000.00 ",1990,1991,LAL,Los Angeles Lakers
354,A.C. Green," $1,750,000.00 ",1991,1992,LAL,Los Angeles Lakers
727,A.C. Green," $1,750,000.00 ",1992,1993,LAL,Los Angeles Lakers
1103,A.C. Green," $1,885,000.00 ",1993,1994,PHO,Phoenix Suns
1497,A.C. Green," $6,472,600.00 ",1994,1995,PHO,Phoenix Suns
1832,A.C. Green," $6,473,000.00 ",1995,1996,PHO,Phoenix Suns
2207,A.C. Green," $4,851,000.00 ",1996,1997,DAL,Dallas Mavericks
2977,A.C. Green," $5,125,088.00 ",1998,1999,DAL,Dallas Mavericks
3350,A.C. Green," $1,700,000.00 ",1999,2000,LAL,Los Angeles Lakers
3701,A.C. Green," $2,250,000.00 ",2000,2001,MIA,Miami Heat
3351,A.J. Bramlett," $118,974.00 ",1999,2000,CLE,Cleveland Caveliers
2,A.J. English," $275,000.00 ",1990,1991,WAS,Washington Wizards
355,A.J. English," $325,000.00 ",1991,1992,WAS,Washington Wizards
728,A.J. English," $406,000.00 ",1992,1993,WAS,Washington Wizards
1104,A.J. English," $150,000.00 ",1993,1994,CHI,Chicago Bulls
1105,A.J. English," $150,000.00 ",1993,1994,POR,Portland Trail Blazers
3702,A.J. Guyton," $316,969.00 ",2000,2001,CHI,Chicago Bulls
4118,A.J. Guyton," $465,850.00 ",2001,2002,CHI,Chicago Bulls
4577,A.J. Guyton," $18,748.00 ",2002,2003,GSW,Golden State Warriors
10717,A.J. Hammons," $650,000.00 ",2016,2017,DAL,Dallas Mavericks
11326,A.J. Hammons," $1,312,611.00 ",2017,2018,MIA,Miami Heat
7486,A.J. Price," $457,588.00 ",2009,2010,IND,Indiana Pacers
7944,A.J. Price," $762,195.00 ",2010,2011,IND,Indiana Pacers
8348,A.J. Price," $854,389.00 ",2011,2012,IND,Indiana Pacers
8801,A.J. Price," $885,120.00 ",2012,2013,WAS,Washington Wizards
9627,A.J. Price," $62,552.00 ",2014,2015,PHO,Phoenix Suns
3,A.J. Wynder," $30,000.00 ",1990,1991,BOS,Boston Celtic
356,A.J. Wynder," $130,000.00 ",1991,1992,BOS,Boston Celtic
729,A.J. Wynder," $140,000.00 ",1992,1993,BOS,Boston Celtic
7064,Aaron Brooks," $1,045,560.00 ",2008,2009,HOU,Houston Rockets
7487,Aaron Brooks," $1,118,520.00 ",2009,2010,HOU,Houston Rockets
8802,Aaron Brooks," $3,250,000.00 ",2012,2013,SAC,Sacramento Kings
9230,Aaron Brooks," $3,396,250.00 ",2013,2014,SAC,Sacramento Kings
9231,Aaron Brooks," $1,027,424.00 ",2013,2014,HOU,Houston Rockets
10154,Aaron Brooks," $2,000,000.00 ",2015,2016,CHI,Chicago Bulls
10718,Aaron Brooks," $2,700,000.00 ",2016,2017,IND,Indiana Pacers
11327,Aaron Brooks," $2,116,955.00 ",2017,2018,MIN,Minnesota Timberwolves
9628,Aaron Craft," $35,000.00 ",2014,2015,GSW,Golden State Warriors
9629,Aaron Gordon," $3,992,040.00 ",2014,2015,ORL,Orlando Magic
10155,Aaron Gordon," $4,171,680.00 ",2015,2016,ORL,Orlando Magic
10719,Aaron Gordon," $4,351,320.00 ",2016,2017,ORL,Orlando Magic
11328,Aaron Gordon," $5,504,420.00 ",2017,2018,ORL,Orlando Magic
6659,Aaron Gray," $427,163.00 ",2007,2008,CHI,Chicago Bulls
7065,Aaron Gray," $711,517.00 ",2008,2009,CHI,Chicago Bulls
7488,Aaron Gray," $1,000,497.00 ",2009,2010,NOH,New Orleans Pelicans
7945,Aaron Gray," $1,028,840.00 ",2010,2011,NOH,New Orleans Pelicans
8349,Aaron Gray," $2,500,000.00 ",2011,2012,TOR,Toronto Raptors 
8803,Aaron Gray," $2,575,000.00 ",2012,2013,TOR,Toronto Raptors 
9232,Aaron Gray," $2,690,875.00 ",2013,2014,TOR,Toronto Raptors 
9630,Aaron Gray," $1,227,985.00 ",2014,2015,DET,Detroit Pistons
10156,Aaron Gray," $452,059.00 ",2015,2016,DET,Detroit Pistons
10720,Aaron Gray," $452,059.00 ",2016,2017,DET,Detroit Pistons
11329,Aaron Gray," $452,059.00 ",2017,2018,DET,Detroit Pistons
10157,Aaron Harrison," $525,093.00 ",2015,2016,CHA,Charlotte Hornets
10721,Aaron Harrison," $375,579.00 ",2016,2017,CHA,Charlotte Hornets
1498,Aaron McKie," $650,000.00 ",1994,1995,POR,Portland Trail Blazers
1833,Aaron McKie," $845,000.00 ",1995,1996,POR,Portland Trail Blazers
2208,Aaron McKie," $1,040,000.00 ",1996,1997,POR,Portland Trail Blazers
2593,Aaron McKie," $1,235,000.00 ",1997,1998,DET,Detroit Pistons
2978,Aaron McKie," $1,430,000.00 ",1998,1999,PHI,Philadelphia 76ers
3352,Aaron McKie," $1,624,000.00 ",1999,2000,PHI,Philadelphia 76ers
4119,Aaron McKie," $4,000,000.00 ",2001,2002,PHI,Philadelphia 76ers
5420,Aaron McKie," $5,500,000.00 ",2004,2005,PHI,Philadelphia 76ers
5836,Aaron McKie," $6,000,000.00 ",2005,2006,PHI,Philadelphia 76ers
5837,Aaron McKie," $2,500,000.00 ",2005,2006,LAL,Los Angeles Lakers
6284,Aaron McKie," $5,570,874.00 ",2006,2007,PHI,Philadelphia 76ers
6285,Aaron McKie," $2,500,000.00 ",2006,2007,LAL,Los Angeles Lakers
6660,Aaron McKie," $750,000.00 ",2007,2008,MEM,Memphis Grizzlies
5838,Aaron Miles," $155,614.00 ",2005,2006,GSW,Golden State Warriors
1499,Aaron Swinson," $102,424.00 ",1994,1995,PHO,Phoenix Suns
1500,Aaron Williams," $150,000.00 ",1994,1995,MIL,Milwaukee Bucks
2209,Aaron Williams," $169,000.00 ",1996,1997,DEN,Denver Nuggets
2594,Aaron Williams," $500,000.00 ",1997,1998,OKC,Oklahoma City Thunder
2979,Aaron Williams," $575,000.00 ",1998,1999,OKC,Oklahoma City Thunder
3353,Aaron Williams," $1,100,000.00 ",1999,2000,WAS,Washington Wizards
3703,Aaron Williams," $2,250,000.00 ",2000,2001,NJN,Brooklyn Nets
4120,Aaron Williams," $2,475,000.00 ",2001,2002,NJN,Brooklyn Nets
4578,Aaron Williams," $2,700,000.00 ",2002,2003,NJN,Brooklyn Nets
5007,Aaron Williams," $2,925,000.00 ",2003,2004,NJN,Brooklyn Nets
5421,Aaron Williams," $3,790,257.00 ",2004,2005,TOR,Toronto Raptors 
5839,Aaron Williams," $3,375,000.00 ",2005,2006,TOR,Toronto Raptors 
6286,Aaron Williams," $1,750,000.00 ",2006,2007,LAC,Los Angeles Clippers
6661,Aaron Williams," $1,890,000.00 ",2007,2008,LAC,Los Angeles Clippers
11330,Abdel Nader," $1,167,333.00 ",2017,2018,BOS,Boston Celtic
1106,Acie Earl," $650,000.00 ",1993,1994,BOS,Boston Celtic
1501,Acie Earl," $845,000.00 ",1994,1995,BOS,Boston Celtic
1834,Acie Earl," $1,040,000.00 ",1995,1996,TOR,Toronto Raptors 
2210,Acie Earl," $1,235,000.00 ",1996,1997,TOR,Toronto Raptors 
2595,Acie Earl," $1,430,000.00 ",1997,1998,MIL,Milwaukee Bucks
6662,Acie Law," $1,927,080.00 ",2007,2008,ATL,Atlanta Hawks
7066,Acie Law," $2,071,680.00 ",2008,2009,ATL,Atlanta Hawks
7489,Acie Law," $2,216,160.00 ",2009,2010,CHI,Chicago Bulls
7946,Acie Law," $656,030.00 ",2010,2011,GSW,Golden State Warriors
7947,Acie Law," $203,057.00 ",2010,2011,MEM,Memphis Grizzlies
4579,Adam Harrington," $140,636.00 ",2002,2003,DAL,Dallas Mavericks
730,Adam Keefe," $1,000,000.00 ",1992,1993,ATL,Atlanta Hawks
1107,Adam Keefe," $1,200,000.00 ",1993,1994,ATL,Atlanta Hawks
1502,Adam Keefe," $1,500,000.00 ",1994,1995,UTA,Utah Jazz
1835,Adam Keefe," $1,650,000.00 ",1995,1996,UTA,Utah Jazz
2211,Adam Keefe," $1,950,000.00 ",1996,1997,UTA,Utah Jazz
2596,Adam Keefe," $2,300,000.00 ",1997,1998,UTA,Utah Jazz
2980,Adam Keefe," $2,650,000.00 ",1998,1999,UTA,Utah Jazz
3704,Adam Keefe," $3,390,000.00 ",2000,2001,GSW,Golden State Warriors
7067,Adam Morrison," $4,159,200.00 ",2008,2009,LAL,Los Angeles Lakers
7490,Adam Morrison," $5,257,229.00 ",2009,2010,LAL,Los Angeles Lakers
2597,Adonal Foyle," $1,495,000.00 ",1997,1998,GSW,Golden State Warriors
2981,Adonal Foyle," $1,701,000.00 ",1998,1999,GSW,Golden State Warriors
3354,Adonal Foyle," $1,922,520.00 ",1999,2000,GSW,Golden State Warriors
3705,Adonal Foyle," $3,580,000.00 ",2000,2001,GSW,Golden State Warriors
4121,Adonal Foyle," $4,400,000.00 ",2001,2002,GSW,Golden State Warriors
4580,Adonal Foyle," $4,400,000.00 ",2002,2003,GSW,Golden State Warriors
5008,Adonal Foyle," $4,400,000.00 ",2003,2004,GSW,Golden State Warriors
5422,Adonal Foyle," $6,500,000.00 ",2004,2005,GSW,Golden State Warriors
5840,Adonal Foyle," $7,312,500.00 ",2005,2006,GSW,Golden State Warriors
6287,Adonal Foyle," $8,125,000.00 ",2006,2007,GSW,Golden State Warriors
6663,Adonal Foyle," $8,937,500.00 ",2007,2008,GSW,Golden State Warriors
6664,Adonal Foyle," $1,219,590.00 ",2007,2008,ORL,Orlando Magic
7068,Adonal Foyle," $1,262,275.00 ",2008,2009,MEM,Memphis Grizzlies
7491,Adonal Foyle," $1,306,455.00 ",2009,2010,ORL,Orlando Magic
2982,Adonis Jordan," $350,000.00 ",1998,1999,MIL,Milwaukee Bucks
10158,Adonis Thomas," $60,000.00 ",2015,2016,DET,Detroit Pistons
9631,Adreian Payne," $1,855,320.00 ",2014,2015,MIN,Minnesota Timberwolves
10159,Adreian Payne," $1,938,840.00 ",2015,2016,MIN,Minnesota Timberwolves
10722,Adreian Payne," $2,022,240.00 ",2016,2017,MIN,Minnesota Timberwolves
4,Adrian Caldwell," $275,000.00 ",1990,1991,HOU,Houston Rockets
1503,Adrian Caldwell," $150,000.00 ",1994,1995,HOU,Houston Rockets
1836,Adrian Caldwell," $225,000.00 ",1995,1996,IND,Indiana Pacers
2598,Adrian Caldwell," $20,000.00 ",1997,1998,CLE,Cleveland Caveliers
5,Adrian Dantley," $400,000.00 ",1990,1991,MIL,Milwaukee Bucks
3355,Adrian Griffin," $385,000.00 ",1999,2000,BOS,Boston Celtic
3706,Adrian Griffin," $498,500.00 ",2000,2001,BOS,Boston Celtic
4122,Adrian Griffin," $565,850.00 ",2001,2002,DAL,Dallas Mavericks
4581,Adrian Griffin," $637,435.00 ",2002,2003,DAL,Dallas Mavericks
5009,Adrian Griffin," $751,179.00 ",2003,2004,HOU,Houston Rockets
5841,Adrian Griffin," $768,718.00 ",2005,2006,DAL,Dallas Mavericks
6288,Adrian Griffin," $1,475,000.00 ",2006,2007,CHI,Chicago Bulls
6665,Adrian Griffin," $1,593,000.00 ",2007,2008,OKC,Oklahoma City Thunder
7069,Adrian Griffin," $1,711,000.00 ",2008,2009,MIL,Milwaukee Bucks
9632,Akil Mitchell," $150,000.00 ",2014,2015,HOU,Houston Rockets
3707,Al Harrington," $797,880.00 ",2000,2001,IND,Indiana Pacers
4123,Al Harrington," $1,436,982.00 ",2001,2002,IND,Indiana Pacers
4582,Al Harrington," $5,060,000.00 ",2002,2003,IND,Indiana Pacers
5010,Al Harrington," $5,692,500.00 ",2003,2004,IND,Indiana Pacers
5423,Al Harrington," $6,325,000.00 ",2004,2005,ATL,Atlanta Hawks
5842,Al Harrington," $6,957,500.00 ",2005,2006,ATL,Atlanta Hawks
6289,Al Harrington," $7,625,000.00 ",2006,2007,GSW,Golden State Warriors
6666,Al Harrington," $8,425,625.00 ",2007,2008,GSW,Golden State Warriors
7070,Al Harrington," $9,226,250.00 ",2008,2009,NYK,New York Knicks
7492,Al Harrington," $10,026,875.00 ",2009,2010,NYK,New York Knicks
7948,Al Harrington," $5,765,000.00 ",2010,2011,DEN,Denver Nuggets
8350,Al Harrington," $6,226,200.00 ",2011,2012,DEN,Denver Nuggets
8804,Al Harrington," $6,687,400.00 ",2012,2013,ORL,Orlando Magic
9233,Al Harrington," $3,574,300.00 ",2013,2014,ORL,Orlando Magic
9234,Al Harrington," $1,399,507.00 ",2013,2014,WAS,Washington Wizards
9633,Al Harrington," $3,805,000.00 ",2014,2015,ORL,Orlando Magic
6667,Al Horford," $3,745,800.00 ",2007,2008,ATL,Atlanta Hawks
7071,Al Horford," $4,026,720.00 ",2008,2009,ATL,Atlanta Hawks
7493,Al Horford," $4,307,640.00 ",2009,2010,ATL,Atlanta Hawks
7949,Al Horford," $5,444,857.00 ",2010,2011,ATL,Atlanta Hawks
8351,Al Horford," $12,000,000.00 ",2011,2012,ATL,Atlanta Hawks
8805,Al Horford," $12,000,000.00 ",2012,2013,ATL,Atlanta Hawks
9235,Al Horford," $12,000,000.00 ",2013,2014,ATL,Atlanta Hawks
9634,Al Horford," $12,000,000.00 ",2014,2015,ATL,Atlanta Hawks
10160,Al Horford," $12,000,000.00 ",2015,2016,ATL,Atlanta Hawks
10723,Al Horford," $26,540,100.00 ",2016,2017,BOS,Boston Celtic
11331,Al Horford," $27,734,405.00 ",2017,2018,BOS,Boston Celtic
5424,Al Jefferson," $1,407,240.00 ",2004,2005,BOS,Boston Celtic
5843,Al Jefferson," $1,512,840.00 ",2005,2006,BOS,Boston Celtic
6668,Al Jefferson," $2,480,885.00 ",2007,2008,MIN,Minnesota Timberwolves
7072,Al Jefferson," $11,000,000.00 ",2008,2009,MIN,Minnesota Timberwolves
7494,Al Jefferson," $12,000,000.00 ",2009,2010,MIN,Minnesota Timberwolves
7950,Al Jefferson," $13,000,000.00 ",2010,2011,UTA,Utah Jazz
8352,Al Jefferson," $14,000,000.00 ",2011,2012,UTA,Utah Jazz
8806,Al Jefferson," $15,000,000.00 ",2012,2013,UTA,Utah Jazz
10161,Al Jefferson," $13,833,333.00 ",2015,2016,CHA,Charlotte Hornets
10724,Al Jefferson," $10,230,179.00 ",2016,2017,IND,Indiana Pacers
11332,Al Jefferson," $9,769,821.00 ",2017,2018,IND,Indiana Pacers
6669,Al Thornton," $1,652,280.00 ",2007,2008,LAC,Los Angeles Clippers
7073,Al Thornton," $1,776,240.00 ",2008,2009,LAC,Los Angeles Clippers
7495,Al Thornton," $1,900,200.00 ",2009,2010,WAS,Washington Wizards
7951,Al Thornton," $2,814,196.00 ",2010,2011,WAS,Washington Wizards
6,Alaa Abdelnaby," $395,000.00 ",1990,1991,POR,Portland Trail Blazers
357,Alaa Abdelnaby," $494,000.00 ",1991,1992,POR,Portland Trail Blazers
731,Alaa Abdelnaby," $500,000.00 ",1992,1993,BOS,Boston Celtic
1108,Alaa Abdelnaby," $805,000.00 ",1993,1994,BOS,Boston Celtic
1504,Alaa Abdelnaby," $650,000.00 ",1994,1995,SAC,Sacramento Kings
8807,Alan Anderson," $885,120.00 ",2012,2013,TOR,Toronto Raptors 
9236,Alan Anderson," $947,907.00 ",2013,2014,NJN,Brooklyn Nets
9635,Alan Anderson," $1,276,061.00 ",2014,2015,NJN,Brooklyn Nets
10162,Alan Anderson," $4,000,000.00 ",2015,2016,WAS,Washington Wizards
10725,Alan Anderson," $1,315,448.00 ",2016,2017,LAC,Los Angeles Clippers
1837,Alan Henderson," $791,000.00 ",1995,1996,ATL,Atlanta Hawks
2212,Alan Henderson," $910,000.00 ",1996,1997,ATL,Atlanta Hawks
2599,Alan Henderson," $1,028,400.00 ",1997,1998,ATL,Atlanta Hawks
2983,Alan Henderson," $4,725,000.00 ",1998,1999,ATL,Atlanta Hawks
3356,Alan Henderson," $5,318,437.00 ",1999,2000,ATL,Atlanta Hawks
3708,Alan Henderson," $5,910,000.00 ",2000,2001,ATL,Atlanta Hawks
4124,Alan Henderson," $6,500,312.00 ",2001,2002,ATL,Atlanta Hawks
4583,Alan Henderson," $7,091,250.00 ",2002,2003,ATL,Atlanta Hawks
5011,Alan Henderson," $7,682,188.00 ",2003,2004,ATL,Atlanta Hawks
5425,Alan Henderson," $8,273,125.00 ",2004,2005,DAL,Dallas Mavericks
5844,Alan Henderson," $1,138,500.00 ",2005,2006,CLE,Cleveland Caveliers
7,Alan Ogg," $130,000.00 ",1990,1991,MIA,Miami Heat
358,Alan Ogg," $202,000.00 ",1991,1992,MIA,Miami Heat
10163,Alan Williams," $114,285.00 ",2015,2016,PHO,Phoenix Suns
10726,Alan Williams," $874,636.00 ",2016,2017,PHO,Phoenix Suns
11333,Alan Williams," $6,000,000.00 ",2017,2018,PHO,Phoenix Suns
6670,Alando Tucker," $931,920.00 ",2007,2008,PHO,Phoenix Suns
7074,Alando Tucker," $1,001,880.00 ",2008,2009,PHO,Phoenix Suns
7496,Alando Tucker," $1,071,720.00 ",2009,2010,MIN,Minnesota Timberwolves
8353,Alec Burks," $2,020,200.00 ",2011,2012,UTA,Utah Jazz
8808,Alec Burks," $2,171,640.00 ",2012,2013,UTA,Utah Jazz
9237,Alec Burks," $2,202,000.00 ",2013,2014,UTA,Utah Jazz
9636,Alec Burks," $3,034,356.00 ",2014,2015,UTA,Utah Jazz
10164,Alec Burks," $9,213,484.00 ",2015,2016,UTA,Utah Jazz
10727,Alec Burks," $10,154,495.00 ",2016,2017,UTA,Utah Jazz
11334,Alec Burks," $10,845,506.00 ",2017,2018,UTA,Utah Jazz
8,Alec Kessler," $1,600,000.00 ",1990,1991,MIA,Miami Heat
359,Alec Kessler," $1,122,000.00 ",1991,1992,MIA,Miami Heat
732,Alec Kessler," $762,000.00 ",1992,1993,MIA,Miami Heat
1109,Alec Kessler," $922,000.00 ",1993,1994,MIA,Miami Heat
1505,Alec Kessler," $1,402,000.00 ",1994,1995,MIA,Miami Heat
3357,Aleksandar Radojevic," $1,325,760.00 ",1999,2000,TOR,Toronto Raptors 
3709,Aleksandar Radojevic," $1,425,120.00 ",2000,2001,TOR,Toronto Raptors 
4125,Aleksandar Radojevic," $1,524,600.00 ",2001,2002,MIL,Milwaukee Bucks
5426,Aleksandar Radojevic," $720,046.00 ",2004,2005,UTA,Utah Jazz
10728,Alex Abrines," $5,994,764.00 ",2016,2017,OKC,Oklahoma City Thunder
11335,Alex Abrines," $5,725,000.00 ",2017,2018,OKC,Oklahoma City Thunder
5845,Alex Acker," $398,762.00 ",2005,2006,DET,Detroit Pistons
6290,Alex Acker," $839,209.00 ",2006,2007,DET,Detroit Pistons
7075,Alex Acker," $711,517.00 ",2008,2009,LAC,Los Angeles Clippers
733,Alex Blackwell," $140,000.00 ",1992,1993,LAL,Los Angeles Lakers
10729,Alex Caruso," $50,000.00 ",2016,2017,OKC,Oklahoma City Thunder
9,Alex English," $1,500,000.00 ",1990,1991,DAL,Dallas Mavericks
360,Alex English," $500,000.00 ",1991,1992,DAL,Dallas Mavericks
5012,Alex Garcia," $366,931.00 ",2003,2004,SAS,San Antonio Spurs
5427,Alex Garcia," $620,046.00 ",2004,2005,NOH,New Orleans Pelicans
9637,Alex Kirk," $65,000.00 ",2014,2015,NYK,New York Knicks
9238,Alex Len," $3,492,720.00 ",2013,2014,PHO,Phoenix Suns
9638,Alex Len," $3,649,920.00 ",2014,2015,PHO,Phoenix Suns
10165,Alex Len," $3,807,120.00 ",2015,2016,PHO,Phoenix Suns
10730,Alex Len," $4,823,621.00 ",2016,2017,PHO,Phoenix Suns
11336,Alex Len," $4,187,599.00 ",2017,2018,PHO,Phoenix Suns
10731,Alex Poythress," $38,903.00 ",2016,2017,PHI,Philadelphia 76ers
10732,Alex Poythress," $35,381.00 ",2016,2017,IND,Indiana Pacers
10166,Alex Stepheson," $61,776.00 ",2015,2016,LAC,Los Angeles Clippers
10167,Alex Stepheson," $30,888.00 ",2015,2016,MEM,Memphis Grizzlies
734,Alex Stivrins," $140,000.00 ",1992,1993,PHO,Phoenix Suns
6291,Alexander Johnson," $412,718.00 ",2006,2007,MEM,Memphis Grizzlies
6671,Alexander Johnson," $687,456.00 ",2007,2008,MIA,Miami Heat
10,Alexander Volkov," $650,000.00 ",1990,1991,ATL,Atlanta Hawks
361,Alexander Volkov," $675,000.00 ",1991,1992,ATL,Atlanta Hawks
8809,Alexey Shved," $2,934,610.00 ",2012,2013,MIN,Minnesota Timberwolves
9239,Alexey Shved," $3,150,000.00 ",2013,2014,MIN,Minnesota Timberwolves
9639,Alexey Shved," $3,282,056.00 ",2014,2015,NYK,New York Knicks
7952,Alexis Ajinca," $1,467,840.00 ",2010,2011,TOR,Toronto Raptors 
9640,Alexis Ajinca," $981,084.00 ",2014,2015,NOH,New Orleans Pelicans
10168,Alexis Ajinca," $4,300,000.00 ",2015,2016,NOH,New Orleans Pelicans
10733,Alexis Ajinca," $4,600,000.00 ",2016,2017,NOH,New Orleans Pelicans
11337,Alexis Ajinca," $4,961,798.00 ",2017,2018,NOH,New Orleans Pelicans
7953,Al-Farouq Aminu," $2,563,320.00 ",2010,2011,LAC,Los Angeles Clippers
8354,Al-Farouq Aminu," $2,755,560.00 ",2011,2012,NOH,New Orleans Pelicans
8810,Al-Farouq Aminu," $2,947,800.00 ",2012,2013,NOH,New Orleans Pelicans
9240,Al-Farouq Aminu," $3,700,000.00 ",2013,2014,NOH,New Orleans Pelicans
9641,Al-Farouq Aminu," $981,084.00 ",2014,2015,DAL,Dallas Mavericks
10169,Al-Farouq Aminu," $7,500,000.00 ",2015,2016,POR,Portland Trail Blazers
10734,Al-Farouq Aminu," $7,680,965.00 ",2016,2017,POR,Portland Trail Blazers
11338,Al-Farouq Aminu," $7,319,035.00 ",2017,2018,POR,Portland Trail Blazers
11339,Alfonzo McKinnie," $815,615.00 ",2017,2018,TOR,Toronto Raptors 
1110,Allan Houston," $736,000.00 ",1993,1994,DET,Detroit Pistons
1506,Allan Houston," $956,000.00 ",1994,1995,DET,Detroit Pistons
2213,Allan Houston," $5,000,000.00 ",1996,1997,NYK,New York Knicks
2600,Allan Houston," $6,000,000.00 ",1997,1998,NYK,New York Knicks
2984,Allan Houston," $7,000,000.00 ",1998,1999,NYK,New York Knicks
4126,Allan Houston," $12,750,000.00 ",2001,2002,NYK,New York Knicks
4584,Allan Houston," $14,343,750.00 ",2002,2003,NYK,New York Knicks
5013,Allan Houston," $15,937,500.00 ",2003,2004,NYK,New York Knicks
5428,Allan Houston," $17,531,250.00 ",2004,2005,NYK,New York Knicks
5846,Allan Houston," $19,125,000.00 ",2005,2006,NYK,New York Knicks
9642,Allen Crabbe," $862,000.00 ",2014,2015,POR,Portland Trail Blazers
10170,Allen Crabbe," $947,276.00 ",2015,2016,POR,Portland Trail Blazers
10735,Allen Crabbe," $18,500,000.00 ",2016,2017,POR,Portland Trail Blazers
11340,Allen Crabbe," $19,332,500.00 ",2017,2018,NJN,Brooklyn Nets
2214,Allen Iverson," $2,267,000.00 ",1996,1997,PHI,Philadelphia 76ers
2601,Allen Iverson," $3,128,640.00 ",1997,1998,PHI,Philadelphia 76ers
2985,Allen Iverson," $3,537,000.00 ",1998,1999,PHI,Philadelphia 76ers
3358,Allen Iverson," $9,000,000.00 ",1999,2000,PHI,Philadelphia 76ers
4127,Allen Iverson," $11,250,000.00 ",2001,2002,PHI,Philadelphia 76ers
5429,Allen Iverson," $14,625,000.00 ",2004,2005,PHI,Philadelphia 76ers
5847,Allen Iverson," $16,453,125.00 ",2005,2006,PHI,Philadelphia 76ers
6672,Allen Iverson," $19,012,500.00 ",2007,2008,DEN,Denver Nuggets
7076,Allen Iverson," $20,840,625.00 ",2008,2009,DET,Detroit Pistons
7497,Allen Iverson," $1,029,794.00 ",2009,2010,PHI,Philadelphia 76ers
7498,Allen Iverson," $161,386.00 ",2009,2010,MEM,Memphis Grizzlies
7954,Alonzo Gee," $479,735.00 ",2010,2011,CLE,Cleveland Caveliers
7955,Alonzo Gee," $125,538.00 ",2010,2011,WAS,Washington Wizards
7956,Alonzo Gee," $76,219.00 ",2010,2011,SAS,San Antonio Spurs
8355,Alonzo Gee," $854,389.00 ",2011,2012,CLE,Cleveland Caveliers
8811,Alonzo Gee," $3,500,000.00 ",2012,2013,CLE,Cleveland Caveliers
9241,Alonzo Gee," $3,250,000.00 ",2013,2014,CLE,Cleveland Caveliers
9643,Alonzo Gee," $1,063,384.00 ",2014,2015,POR,Portland Trail Blazers
10171,Alonzo Gee," $1,375,000.00 ",2015,2016,NOH,New Orleans Pelicans
10736,Alonzo Gee," $1,400,000.00 ",2016,2017,NOH,New Orleans Pelicans
10737,Alonzo Gee," $495,227.00 ",2016,2017,DEN,Denver Nuggets
735,Alonzo Mourning," $2,400,000.00 ",1992,1993,CHA,Charlotte Hornets
1111,Alonzo Mourning," $3,120,000.00 ",1993,1994,CHA,Charlotte Hornets
1507,Alonzo Mourning," $3,840,000.00 ",1994,1995,CHA,Charlotte Hornets
1838,Alonzo Mourning," $4,560,000.00 ",1995,1996,MIA,Miami Heat
2215,Alonzo Mourning," $9,380,000.00 ",1996,1997,MIA,Miami Heat
2986,Alonzo Mourning," $13,130,000.00 ",1998,1999,MIA,Miami Heat
3710,Alonzo Mourning," $16,880,000.00 ",2000,2001,MIA,Miami Heat
4128,Alonzo Mourning," $18,754,800.00 ",2001,2002,MIA,Miami Heat
4585,Alonzo Mourning," $20,629,800.00 ",2002,2003,MIA,Miami Heat
5014,Alonzo Mourning," $4,917,000.00 ",2003,2004,NJN,Brooklyn Nets
5430,Alonzo Mourning," $5,408,700.00 ",2004,2005,TOR,Toronto Raptors 
5848,Alonzo Mourning," $4,000,000.00 ",2005,2006,TOR,Toronto Raptors 
5849,Alonzo Mourning," $1,138,500.00 ",2005,2006,MIA,Miami Heat
6292,Alonzo Mourning," $4,225,433.00 ",2006,2007,TOR,Toronto Raptors 
6673,Alonzo Mourning," $2,762,500.00 ",2007,2008,MIA,Miami Heat
4129,Alton Ford," $332,817.00 ",2001,2002,PHO,Phoenix Suns
4586,Alton Ford," $512,435.00 ",2002,2003,PHO,Phoenix Suns
5015,Alton Ford," $586,082.00 ",2003,2004,HOU,Houston Rockets
11,Alton Lister," $1,700,000.00 ",1990,1991,GSW,Golden State Warriors
362,Alton Lister," $1,333,000.00 ",1991,1992,GSW,Golden State Warriors
736,Alton Lister," $1,283,000.00 ",1992,1993,GSW,Golden State Warriors
1508,Alton Lister," $150,000.00 ",1994,1995,MIL,Milwaukee Bucks
1839,Alton Lister," $300,000.00 ",1995,1996,BOS,Boston Celtic
2216,Alton Lister," $500,000.00 ",1996,1997,BOS,Boston Celtic
2602,Alton Lister," $272,250.00 ",1997,1998,POR,Portland Trail Blazers
4130,Alvin Jones," $332,817.00 ",2001,2002,PHI,Philadelphia 76ers
12,Alvin Robertson," $870,000.00 ",1990,1991,MIL,Milwaukee Bucks
363,Alvin Robertson," $1,033,000.00 ",1991,1992,MIL,Milwaukee Bucks
737,Alvin Robertson," $1,283,000.00 ",1992,1993,MIL,Milwaukee Bucks
1112,Alvin Robertson," $1,408,000.00 ",1993,1994,DEN,Denver Nuggets
1840,Alvin Robertson," $225,000.00 ",1995,1996,TOR,Toronto Raptors 
2603,Alvin Williams," $242,000.00 ",1997,1998,POR,Portland Trail Blazers
3359,Alvin Williams," $1,925,000.00 ",1999,2000,TOR,Toronto Raptors 
3711,Alvin Williams," $2,100,000.00 ",2000,2001,TOR,Toronto Raptors 
4131,Alvin Williams," $5,350,000.00 ",2001,2002,TOR,Toronto Raptors 
4587,Alvin Williams," $5,350,000.00 ",2002,2003,TOR,Toronto Raptors 
5016,Alvin Williams," $5,500,000.00 ",2003,2004,TOR,Toronto Raptors 
5431,Alvin Williams," $5,850,000.00 ",2004,2005,TOR,Toronto Raptors 
